date,target,cash,total,021400_pct,021400_dd,021400_shares,021093_pct,021093_dd,021093_shares,017513_pct,017513_dd,017513_shares
2026-06-11,021093,226236.98,745236.12,0.225,0.0653,0.0,0.0,0.3566,625149.52,0.0833,0.2075,0.0
2026-06-18,021093,220631.67,724980.75,0.0,0.1013,0.0,0.0,0.3818,632254.07,0.1417,0.1968,0.0
2026-06-26,021093,206949.55,674018.3,0.0,0.1352,0.0,0.0,0.4443,651420.85,0.15,0.1961,0.0
2026-07-03,021093,207006.25,699545.56,0.05,0.1145,0.0,0.0667,0.4056,651420.85,0.2833,0.1837,0.0
2026-07-10,021093,207062.97,739208.66,0.05,0.1173,0.0,0.1333,0.3615,651420.85,0.0083,0.2312,0.0
2026-07-17,021093,207119.71,770794.17,0.1167,0.0985,0.0,0.1583,0.341,651420.85,0.0,0.3043,0.0
2026-07-24,021093,207176.46,749028.32,0.1917,0.0774,0.0,0.1167,0.3544,651420.85,0.0,0.3319,0.0
2026-07-31,017513,226859.6,776119.05,0.5,0.0472,0.0,0.3583,0.2889,0.0,0.0833,0.2836,423517.2
2026-08-07,017513,226921.76,795197.14,0.3583,0.0571,0.0,0.375,0.2519,0.0,0.15,0.2501,423517.2
2026-08-14,017513,226983.93,783019.67,0.3333,0.063,0.0,0.225,0.2688,0.0,0.1,0.2798,423517.2
2026-08-21,017513,227046.13,775119.74,0.6083,0.0466,0.0,0.2583,0.1928,0.0,0.05,0.2549,423517.2
2026-08-28,017513,227108.34,771878.51,0.9,0.0278,0.0,0.175,0.2153,0.0,0.0583,0.2438,423517.2
2026-09-04,017513,227170.57,778547.61,0.8417,0.0245,0.0,0.1917,0.2178,0.0,0.1833,0.2283,423517.2
