date,close
2022-08-25,1.399
2022-08-26,1.406
2022-08-29,1.421
2022-08-30,1.427
2022-08-31,1.434
2022-09-01,1.421
2022-09-02,1.434
2022-09-05,1.419
2022-09-06,1.431
2022-09-07,1.413
2022-09-08,1.424
2022-09-09,1.424
2022-09-13,1.433
2022-09-14,1.422
2022-09-15,1.422
2022-09-16,1.407
2022-09-19,1.391
2022-09-20,1.401
2022-09-21,1.391
2022-09-22,1.361
2022-09-23,1.333
2022-09-26,1.337
2022-09-27,1.4
2022-09-28,1.355
2022-09-29,1.324
2022-09-30,1.309
2022-10-10,1.264
2022-10-11,1.251
2022-10-12,1.263
2022-10-13,1.264
2022-10-14,1.287
2022-10-17,1.303
2022-10-18,1.308
2022-10-19,1.292
2022-10-20,1.316
2022-10-21,1.307
2022-10-24,1.271
2022-10-25,1.28
2022-10-26,1.308
2022-10-27,1.326
2022-10-28,1.296
2022-10-31,1.303
2022-11-01,1.374
2022-11-02,1.406
2022-11-03,1.397
2022-11-04,1.442
2022-11-07,1.442
2022-11-08,1.429
2022-11-09,1.431
2022-11-10,1.455
2022-11-11,1.462
2022-11-14,1.442
2022-11-15,1.476
2022-11-16,1.489
2022-11-17,1.509
2022-11-18,1.49
2022-11-21,1.442
2022-11-22,1.42
2022-11-23,1.419
2022-11-24,1.4
2022-11-25,1.404
2022-11-28,1.442
2022-11-29,1.521
2022-11-30,1.528
2022-12-01,1.54
2022-12-02,1.561
2022-12-05,1.568
2022-12-06,1.57
2022-12-07,1.595
2022-12-08,1.613
2022-12-09,1.592
2022-12-12,1.583
2022-12-13,1.617
2022-12-14,1.648
2022-12-15,1.615
2022-12-16,1.614
2022-12-19,1.578
2022-12-20,1.548
2022-12-21,1.574
2022-12-22,1.573
2022-12-23,1.589
2022-12-26,1.613
2022-12-27,1.594
2022-12-28,1.597
2022-12-29,1.579
2022-12-30,1.613
2022-12-31,1.613
2023-01-03,1.628
2023-01-04,1.653
2023-01-05,1.644
2023-01-06,1.594
2023-01-09,1.622
2023-01-10,1.626
2023-01-11,1.594
2023-01-12,1.587
2023-01-13,1.618
2023-01-16,1.614
2023-01-17,1.602
2023-01-18,1.628
2023-01-19,1.651
2023-01-20,1.66
2023-01-30,1.615
2023-01-31,1.594
2023-02-01,1.61
2023-02-02,1.615
2023-02-03,1.612
2023-02-06,1.616
2023-02-07,1.615
2023-02-08,1.585
2023-02-09,1.602
2023-02-10,1.616
2023-02-13,1.652
2023-02-14,1.638
2023-02-15,1.636
2023-02-16,1.631
2023-02-17,1.617
2023-02-20,1.643
2023-02-21,1.638
2023-02-22,1.626
2023-02-23,1.608
2023-02-24,1.611
2023-02-27,1.607
2023-02-28,1.623
2023-03-01,1.639
2023-03-02,1.659
2023-03-03,1.662
2023-03-06,1.673
2023-03-07,1.634
2023-03-08,1.665
2023-03-09,1.668
2023-03-10,1.653
2023-03-13,1.665
2023-03-14,1.645
2023-03-15,1.645
2023-03-16,1.626
2023-03-17,1.673
2023-03-20,1.743
2023-03-21,1.797
2023-03-22,1.834
2023-03-23,1.843
2023-03-24,1.865
2023-03-27,1.874
2023-03-28,1.846
2023-03-29,1.849
2023-03-30,1.833
2023-03-31,1.91
2023-04-03,1.996
2023-04-04,1.976
2023-04-06,1.951
2023-04-07,2.026
2023-04-10,2.05
2023-04-11,2.167
2023-04-12,2.277
2023-04-13,2.287
2023-04-14,2.241
2023-04-17,2.197
2023-04-18,2.187
2023-04-19,2.256
2023-04-20,2.294
2023-04-21,2.215
2023-04-24,2.233
2023-04-25,2.234
2023-04-26,2.246
2023-04-27,2.149
2023-04-28,2.26
2023-05-04,2.394
2023-05-05,2.367
2023-05-08,2.355
2023-05-09,2.31
2023-05-10,2.297
2023-05-11,2.443
2023-05-12,2.353
2023-05-15,2.272
2023-05-16,2.182
2023-05-17,2.16
2023-05-18,2.182
2023-05-19,2.141
2023-05-22,2.121
2023-05-23,2.082
2023-05-24,2.001
2023-05-25,1.972
2023-05-26,1.988
2023-05-29,1.999
2023-05-30,2.058
2023-05-31,2.078
2023-06-01,2.148
2023-06-02,2.161
2023-06-05,2.234
2023-06-06,2.239
2023-06-07,2.31
2023-06-08,2.221
2023-06-09,2.268
2023-06-12,2.274
2023-06-13,2.306
2023-06-14,2.292
2023-06-15,2.277
2023-06-16,2.276
2023-06-19,2.269
2023-06-20,2.277
2023-06-21,2.151
2023-06-26,2.057
2023-06-27,2.122
2023-06-28,2.089
2023-06-29,2.097
2023-06-30,2.089
2023-07-03,2.106
2023-07-04,2.1
2023-07-05,2.065
2023-07-06,2.065
2023-07-07,2.066
2023-07-10,2.155
2023-07-11,2.148
2023-07-12,2.12
2023-07-13,2.206
2023-07-14,2.198
2023-07-17,2.194
2023-07-18,2.153
2023-07-19,2.176
2023-07-20,2.174
2023-07-21,2.176
2023-07-24,2.157
2023-07-25,2.178
2023-07-26,2.171
2023-07-27,2.135
2023-07-28,2.129
2023-07-31,2.191
2023-08-01,2.157
2023-08-02,2.139
2023-08-03,2.14
2023-08-04,2.164
2023-08-07,2.215
2023-08-08,2.232
2023-08-09,2.184
2023-08-10,2.192
2023-08-11,2.151
2023-08-14,2.168
2023-08-15,2.127
2023-08-16,2.103
2023-08-17,2.12
2023-08-18,2.066
2023-08-21,2.061
2023-08-22,2.091
2023-08-23,2.06
2023-08-24,2.116
2023-08-25,2.051
2023-08-28,2.08
2023-08-29,2.145
2023-08-30,2.14
2023-08-31,2.012
2023-09-01,2.006
2023-09-04,2.027
2023-09-05,1.993
2023-09-06,1.978
2023-09-07,1.953
2023-09-08,1.94
2023-09-11,1.972
2023-09-12,1.951
2023-09-13,1.93
2023-09-14,1.92
2023-09-15,1.936
2023-09-18,1.958
2023-09-19,1.914
2023-09-20,1.887
2023-09-21,1.871
2023-09-22,1.919
2023-09-25,1.906
2023-09-26,1.911
2023-09-27,1.822
2023-09-28,1.82
2023-10-09,1.729
2023-10-10,1.739
2023-10-11,1.745
2023-10-12,1.733
2023-10-13,1.714
2023-10-16,1.703
2023-10-17,1.701
2023-10-18,1.667
2023-10-19,1.665
2023-10-20,1.649
2023-10-23,1.616
2023-10-24,1.657
2023-10-25,1.675
2023-10-26,1.677
2023-10-27,1.688
2023-10-30,1.726
2023-10-31,1.734
2023-11-01,1.745
2023-11-02,1.795
2023-11-03,1.792
2023-11-06,1.876
2023-11-07,1.9
2023-11-08,1.961
2023-11-09,1.899
2023-11-10,1.868
2023-11-13,1.887
2023-11-14,1.894
2023-11-15,1.882
2023-11-16,1.906
2023-11-17,1.917
2023-11-20,1.929
2023-11-21,1.953
2023-11-22,1.937
2023-11-23,1.912
2023-11-24,1.902
2023-11-27,1.87
2023-11-28,1.869
2023-11-29,1.846
2023-11-30,1.849
2023-12-01,1.93
2023-12-04,1.959
2023-12-05,1.92
2023-12-06,1.957
2023-12-07,2.002
2023-12-08,1.98
2023-12-11,2.038
2023-12-12,2.036
2023-12-13,2.021
2023-12-14,2.012
2023-12-15,2.045
2023-12-18,2.005
2023-12-19,2.021
2023-12-20,1.976
2023-12-21,1.951
2023-12-22,1.828
2023-12-25,1.792
2023-12-26,1.752
2023-12-27,1.75
2023-12-28,1.782
2023-12-29,1.824
2023-12-31,1.824
2024-01-02,1.822
2024-01-03,1.836
2024-01-04,1.818
