date,017963,013711,total_value,nav
2026-06-16,60000.0,65463.97188049209,125463.97188049208,1.0455330990041007
2026-06-17,60000.0,65463.97188049209,125463.97188049208,1.0455330990041007
2026-06-18,60000.0,65463.97188049209,125463.97188049208,1.0455330990041007
2026-06-22,60000.0,65463.97188049209,125463.97188049208,1.0455330990041007
2026-06-23,60000.0,65463.97188049209,125463.97188049208,1.0455330990041007
2026-06-24,60000.0,65463.97188049209,125463.97188049208,1.0455330990041007
2026-06-25,60000.0,65463.97188049209,125463.97188049208,1.0455330990041007
2026-06-26,60000.0,65463.97188049209,125463.97188049208,1.0455330990041007
2026-06-29,60000.0,65463.97188049209,125463.97188049208,1.0455330990041007
2026-06-30,60000.0,65463.97188049209,125463.97188049208,1.0455330990041007
2026-07-01,60000.0,65463.97188049209,125463.97188049208,1.0455330990041007
2026-07-02,60000.0,65463.97188049209,125463.97188049208,1.0455330990041007
2026-07-03,60000.0,65463.97188049209,125463.97188049208,1.0455330990041007
2026-07-06,60000.0,65463.97188049209,125463.97188049208,1.0455330990041007
2026-07-07,60000.0,65463.97188049209,125463.97188049208,1.0455330990041007
2026-07-08,60000.0,65463.97188049209,125463.97188049208,1.0455330990041007
2026-07-09,60000.0,65463.97188049209,125463.97188049208,1.0455330990041007
2026-07-10,60000.0,65463.97188049209,125463.97188049208,1.0455330990041007
2026-07-13,60000.0,65463.97188049209,125463.97188049208,1.0455330990041007
2026-07-14,60000.0,65463.97188049209,125463.97188049208,1.0455330990041007
2026-07-15,60000.0,65463.97188049209,125463.97188049208,1.0455330990041007
2026-07-16,60000.0,65463.97188049209,125463.97188049208,1.0455330990041007
2026-07-17,60000.0,65463.97188049209,125463.97188049208,1.0455330990041007
2026-07-20,60000.0,65463.97188049209,125463.97188049208,1.0455330990041007
2026-07-21,60000.0,65463.97188049209,125463.97188049208,1.0455330990041007
2026-07-22,60000.0,65463.97188049209,125463.97188049208,1.0455330990041007
2026-07-23,60000.0,65463.97188049209,125463.97188049208,1.0455330990041007
