策略,策略名称,回测天数,年化收益率(%),累计收益率(%),最大回撤(%),最大回撤起始日,最大回撤结束日,夏普比率,卡玛比率,索提诺比率,波动率(年化%),期末总资产(元),总交易次数,买入次数,卖出次数,盈利次数,亏损次数,胜率(%),平均盈利(%),平均亏损(%),盈亏比,总手续费(元),转换次数,买入触发次数,止盈触发次数,买入持有收益率(%),超额收益(%),纯货币基金收益率(%)
买Q0.05-0.70_卖Q0.75-0.90_5买2卖_基80000_增20000,广发约定净值转换,429,4.26,7.36,-1.23,2026-06-16,2026-06-30,0.673,3.463,0.601,1.78,1073678.02,57,19,38,42,0,100.0,3.02,0,0,0.0,57,19,38,3.63,3.73,2.35
买Q0.05-0.70_卖Q0.85-0.90_5买2卖_基80000_增10000,广发约定净值转换,429,4.26,7.35,-1.15,2026-06-16,2026-06-30,0.722,3.69,0.648,1.65,1073583.98,50,17,33,38,0,100.0,3.52,0,0,0.0,50,17,33,3.63,3.72,2.35
买Q0.05-0.80_卖Q0.85-0.95_5买2卖_基80000_增10000,广发约定净值转换,429,4.26,7.35,-1.47,2026-06-12,2026-06-30,0.64,2.901,0.598,1.87,1073597.19,49,17,32,37,0,100.0,3.28,0,0,0.0,49,17,32,3.63,3.72,2.35
买Q0.15-0.70_卖Q0.85-0.90_5买2卖_基80000_增10000,广发约定净值转换,429,4.26,7.35,-1.15,2026-06-16,2026-06-30,0.722,3.69,0.648,1.65,1073583.98,50,17,33,38,0,100.0,3.52,0,0,0.0,50,17,33,3.63,3.72,2.35
买Q0.15-0.70_卖Q0.75-0.95_5买2卖_基80000_增20000,广发约定净值转换,429,4.25,7.35,-1.25,2026-06-12,2026-06-30,0.665,3.399,0.61,1.79,1073510.59,57,19,38,43,0,100.0,2.96,0,0,0.0,57,19,38,3.63,3.72,2.35
买Q0.05-0.70_卖Q0.75-0.95_5买2卖_基80000_增20000,广发约定净值转换,429,4.25,7.35,-1.25,2026-06-12,2026-06-30,0.665,3.399,0.61,1.79,1073510.59,57,19,38,43,0,100.0,2.96,0,0,0.0,57,19,38,3.63,3.72,2.35
买Q0.15-0.80_卖Q0.85-0.90_5买3卖_基80000_增20000,广发约定净值转换,429,4.25,7.34,-1.45,2026-06-16,2026-06-30,0.649,2.939,0.545,1.83,1073477.52,51,17,34,38,0,100.0,3.27,0,0,0.0,51,17,34,3.63,3.71,2.35
买Q0.05-0.70_卖Q0.75-0.95_4买3卖_基80000_增20000,广发约定净值转换,429,4.24,7.33,-1.01,2026-06-16,2026-06-30,0.721,4.205,0.66,1.64,1073370.91,54,18,36,39,0,100.0,3.2,0,0,0.0,54,18,36,3.63,3.7,2.35
买Q0.15-0.70_卖Q0.75-0.95_4买3卖_基80000_增20000,广发约定净值转换,429,4.24,7.33,-1.01,2026-06-16,2026-06-30,0.721,4.205,0.66,1.64,1073370.91,54,18,36,39,0,100.0,3.2,0,0,0.0,54,18,36,3.63,3.7,2.35
买Q0.15-0.70_卖Q0.75-0.90_5买3卖_基80000_增20000,广发约定净值转换,429,4.23,7.3,-1.23,2026-06-16,2026-06-30,0.655,3.434,0.58,1.78,1073061.93,57,19,38,42,0,100.0,2.96,0,0,0.0,57,19,38,3.63,3.67,2.35
