date,cash,position_value,total_value,positions,return,equity,drawdown
2023-08-02,8808.403211248107,895049.1,903857.5032112481,"{'513050': {'shares': 821900.0, 'price': 1.089, 'value': 895049.1, 'profit_pct': 2.730131058742967}}",-0.016983739332441017,0.9038575032112481,-35.76681654249205
2023-08-03,8808.403211248107,899980.5,908788.9032112481,"{'513050': {'shares': 821900.0, 'price': 1.095, 'value': 899980.5, 'profit_pct': 3.296137290471579}}",0.005455948512326003,0.9087889032112481,-35.4163636007651
2023-08-04,8808.403211248107,904090.0000000001,912898.4032112482,"{'513050': {'shares': 821900.0, 'price': 1.1, 'value': 904090.0000000001, 'profit_pct': 3.7678091502454327}}",0.004521952221774539,0.9128984032112483,-35.1243194826593
2023-08-07,8808.403211248107,904090.0000000001,912898.4032112482,"{'513050': {'shares': 821900.0, 'price': 1.1, 'value': 904090.0000000001, 'profit_pct': 3.7678091502454327}}",0.0,0.9128984032112483,-35.1243194826593
2023-08-08,8808.403211248107,889295.8,898104.2032112482,"{'513050': {'shares': 821900.0, 'price': 1.082, 'value': 889295.8, 'profit_pct': 2.069790455059597}}",-0.016205746387505382,0.8981042032112482,-36.175678307840144
2023-08-09,8808.403211248107,889295.8,898104.2032112482,"{'513050': {'shares': 821900.0, 'price': 1.082, 'value': 889295.8, 'profit_pct': 2.069790455059597}}",0.0,0.8981042032112482,-36.175678307840144
2023-08-10,8808.403211248107,894227.2000000001,903035.6032112482,"{'513050': {'shares': 821900.0, 'price': 1.088, 'value': 894227.2000000001, 'profit_pct': 2.635796686788209}}",0.005490899588675102,0.9030356032112482,-35.8252253661132
2023-08-11,8808.403211248107,886830.1,895638.5032112481,"{'513050': {'shares': 821900.0, 'price': 1.079, 'value': 886830.1, 'profit_pct': 1.7867873391952807}}",-0.00819137138524284,0.895638503211248,-36.35090477870363
2023-08-14,8808.403211248107,875323.5,884131.9032112481,"{'513050': {'shares': 821900.0, 'price': 1.065, 'value': 875323.5, 'profit_pct': 0.46610613182851945}}",-0.012847370851905016,0.8841319032112481,-37.16862830939983
2023-08-15,8808.403211248107,876145.4,884953.8032112481,"{'513050': {'shares': 821900.0, 'price': 1.066, 'value': 876145.4, 'profit_pct': 0.5604405037832986}}",0.0009296124220998792,0.8849538032112482,-37.11021948577867
2023-08-16,9481.23793445807,859262.4,868743.6379344581,"{'511260': {'shares': 7200.0, 'price': 119.342, 'value': 859262.4, 'profit_pct': -0.09990009990009066}}",-0.018317527104768527,0.8687436379344581,-38.26220474496087
2023-08-17,8749.293344457983,857690.4,866439.693344458,"{'513050': {'shares': 806100.0, 'price': 1.064, 'value': 857690.4, 'profit_pct': -0.09990009990009556}}",-0.002652041971182628,0.866439693344458,-38.42593596918551
2023-08-18,16998.80812601815,823908.2999999999,840907.1081260181,"{'511260': {'shares': 6900.0, 'price': 119.407, 'value': 823908.2999999999, 'profit_pct': -0.09990009990008415}}",-0.02946839279706137,0.8409071081260181,-40.24042467415696
2023-08-21,16998.80812601815,825833.4,842832.2081260182,"{'511260': {'shares': 6900.0, 'price': 119.686, 'value': 825833.4, 'profit_pct': 0.1335211222404012}}",0.002289313506090185,0.8428322081260182,-40.1036162712453
2023-08-22,16998.80812601815,824839.8,841838.6081260182,"{'511260': {'shares': 6900.0, 'price': 119.542, 'value': 824839.8, 'profit_pct': 0.013045652748537778}}",-0.001178882333186082,0.8418386081260182,-40.17422705984486
2023-08-23,16998.80812601815,824757.0,841755.8081260181,"{'511260': {'shares': 6900.0, 'price': 119.53, 'value': 824757.0, 'profit_pct': 0.003006030290882495}}",-9.835614475361965e-05,0.8417558081260181,-40.18011129222816
2023-08-24,8667.188842108124,830750.4,839417.5888421081,"{'518880': {'shares': 186100.0, 'price': 4.464, 'value': 830750.4, 'profit_pct': -0.0999000999000905}}",-0.002777788120186031,0.8394175888421082,-40.346278268431455
2023-08-25,10115.054660728434,824177.4,834292.4546607285,"{'511260': {'shares': 6900.0, 'price': 119.446, 'value': 824177.4, 'profit_pct': -0.099900099900085}}",-0.006105583501591072,0.8342924546607284,-40.71049904764422
2023-08-28,10115.054660728434,823570.2000000001,833685.2546607285,"{'511260': {'shares': 6900.0, 'price': 119.358, 'value': 823570.2000000001, 'profit_pct': -0.17349995917714894}}",-0.000727802339105299,0.8336852546607285,-40.75365008512173
2023-08-29,8576.496520128567,821454.2,830030.6965201285,"{'518880': {'shares': 184100.0, 'price': 4.462, 'value': 821454.2, 'profit_pct': -0.09990009990008425}}",-0.004383618542092682,0.8300306965201285,-41.01336348315991
2023-08-30,8576.496520128567,824215.7000000001,832792.1965201286,"{'518880': {'shares': 184100.0, 'price': 4.477, 'value': 824215.7000000001, 'profit_pct': 0.23593618394159113}}",0.0033269853893085344,0.8327921965201286,-40.817115805303914
2023-08-31,8576.496520128567,827345.3999999999,835921.8965201285,"{'518880': {'shares': 184100.0, 'price': 4.494, 'value': 827345.3999999999, 'profit_pct': 0.61655063896213}}",0.0037580803627572656,0.8359218965201285,-40.59470177040049
2023-09-01,8447.114095138619,824408.2,832855.3140951386,"{'513100': {'shares': 723800.0, 'price': 1.139, 'value': 824408.2, 'profit_pct': -0.09990009990008053}}",-0.00366850352617365,0.8328553140951386,-40.81263031642918
2023-09-04,8733.369724798598,824147.4,832880.7697247986,"{'518880': {'shares': 182900.0, 'price': 4.506, 'value': 824147.4, 'profit_pct': -0.0999000999000829}}",3.0564287973211535e-05,0.8328807697247986,-40.81082129661778
2023-09-05,8733.369724798598,824513.2,833246.5697247986,"{'518880': {'shares': 182900.0, 'price': 4.508, 'value': 824513.2, 'profit_pct': -0.055559176730935585}}",0.0004391985183194169,0.8332465697247986,-40.78482549703072
2023-09-06,8398.008546178578,822159.9,830557.9085461786,"{'513100': {'shares': 719300.0, 'price': 1.143, 'value': 822159.9, 'profit_pct': -0.09990009990009066}}",-0.003226729369564585,0.8305579085461786,-40.97589683972333
2023-09-07,8398.008546178578,815686.2,824084.2085461785,"{'513100': {'shares': 719300.0, 'price': 1.134, 'value': 815686.2, 'profit_pct': -0.8865150597434075}}",-0.00779439932289816,0.8240842085461786,-41.435954269430475
2023-09-08,8398.008546178578,820721.3,829119.3085461786,"{'513100': {'shares': 719300.0, 'price': 1.141, 'value': 820721.3, 'profit_pct': -0.27470342430971445}}",0.0061099338487298205,0.8291193085461787,-41.07813182410269
2023-09-11,8411.195625538821,813555.0,821966.1956255388,"{'518880': {'shares': 179000.0, 'price': 4.545, 'value': 813555.0, 'profit_pct': -0.09990009990008573}}",-0.0086273626086244,0.8219661956255389,-41.58647214643373
2023-09-12,8324.722413518932,811707.4,820032.122413519,"{'513100': {'shares': 711400.0, 'price': 1.141, 'value': 811707.4, 'profit_pct': -0.09990009990008561}}",-0.0023529838846328976,0.820032122413519,-41.72391823611772
2023-09-13,8491.254168518935,800209.2000000001,808700.454168519,"{'518880': {'shares': 175600.0, 'price': 4.557, 'value': 800209.2000000001, 'profit_pct': -0.0999000999000836}}",-0.013818566291828427,0.808700454168519,-42.529210135199946
2023-09-14,8237.123200519127,804515.2,812752.3232005191,"{'513100': {'shares': 708200.0, 'price': 1.136, 'value': 804515.2, 'profit_pct': -0.09990009990008268}}",0.00501034593354599,0.812752323200519,-42.24126159690316
2023-09-15,8237.123200519127,808764.3999999999,817001.523200519,"{'513100': {'shares': 708200.0, 'price': 1.142, 'value': 808764.3999999999, 'profit_pct': 0.4277412728117132}}",0.0052281610014563995,0.817001523200519,-41.939289613290775
2023-09-18,8224.951376959449,793962.0,802186.9513769594,"{'518880': {'shares': 175500.0, 'price': 4.524, 'value': 793962.0, 'profit_pct': -0.0999000999000797}}",-0.018132857042328476,0.8021869513769595,-42.99209617450901
2023-09-19,8224.951376959449,800104.5,808329.4513769594,"{'518880': {'shares': 175500.0, 'price': 4.559, 'value': 800104.5, 'profit_pct': 0.6729786570635612}}",0.0076571926150834635,0.8083294513769594,-42.55557567433507
2023-09-20,8224.951376959449,806247.0,814471.9513769594,"{'518880': {'shares': 175500.0, 'price': 4.594, 'value': 806247.0, 'profit_pct': 1.4458574140272022}}",0.007599005565783301,0.8144719513769595,-42.119055174161126
2023-09-21,8224.951376959449,803790.0,812014.9513769594,"{'518880': {'shares': 175500.0, 'price': 4.58, 'value': 803790.0, 'profit_pct': 1.1367059112417417}}",-0.0030166784698308913,0.8120149513769594,-42.293663374230704
2023-09-22,8224.951376959449,800455.5,808680.4513769594,"{'518880': {'shares': 175500.0, 'price': 4.561, 'value': 800455.5, 'profit_pct': 0.7171431574614785}}",-0.004106451481398987,0.8086804513769594,-42.5306316457537
2023-09-25,8224.951376959449,803965.5000000001,812190.4513769596,"{'518880': {'shares': 175500.0, 'price': 4.581, 'value': 803965.5000000001, 'profit_pct': 1.1587881614407103}}",0.004340404165852574,0.8121904513769596,-42.28119135994001
2023-09-26,8224.951376959449,803439.0,811663.9513769594,"{'518880': {'shares': 175500.0, 'price': 4.578, 'value': 803439.0, 'profit_pct': 1.0925414108438245}}",-0.000648246971024502,0.8116639513769595,-42.31860740281207
2023-09-27,798876.5042311094,0.0,798876.5042311094,{},-0.015754607709454915,0.7988765042311095,-43.227355115315824
2023-09-28,798876.5042311094,0.0,798876.5042311094,{},0.0,0.7988765042311095,-43.227355115315824
2023-10-09,798876.5042311094,0.0,798876.5042311094,{},0.0,0.7988765042311095,-43.227355115315824
2023-10-10,798876.5042311094,0.0,798876.5042311094,{},0.0,0.7988765042311095,-43.227355115315824
2023-10-11,798876.5042311094,0.0,798876.5042311094,{},0.0,0.7988765042311095,-43.227355115315824
2023-10-12,8023.894003429683,789825.6,797849.4940034297,"{'513100': {'shares': 700200.0, 'price': 1.128, 'value': 789825.6, 'profit_pct': -0.09990009990008183}}",-0.0012855681976380318,0.7978494940034296,-43.30034022207536
2023-10-13,8023.894003429683,785624.4,793648.2940034297,"{'513100': {'shares': 700200.0, 'price': 1.122, 'value': 785624.4, 'profit_pct': -0.6312836100069772}}",-0.00526565477771912,0.7936482940034297,-43.598901056480045
2023-10-16,784935.0285200896,0.0,784935.0285200896,{},-0.010978749087190098,0.7849350285200896,-44.218114570022735
2023-10-17,784935.0285200896,0.0,784935.0285200896,{},0.0,0.7849350285200896,-44.218114570022735
2023-10-18,8231.892961739679,775694.5,783926.3929617397,"{'518880': {'shares': 171500.0, 'price': 4.523, 'value': 775694.5, 'profit_pct': -0.09990009990009621}}",-0.0012849924155525771,0.7839263929617397,-44.28979386972548
2023-10-19,8231.892961739679,779810.5,788042.3929617397,"{'518880': {'shares': 171500.0, 'price': 4.547, 'value': 779810.5, 'profit_pct': 0.43019107799121487}}",0.005250492950555463,0.7880423929617397,-43.99728782516448
2023-10-20,8231.892961739679,788385.5000000001,796617.3929617398,"{'518880': {'shares': 171500.0, 'price': 4.597, 'value': 788385.5000000001, 'profit_pct': 1.5345476985981277}}",0.010881394296279323,0.7966173929617398,-43.38790023232906
2023-10-23,8231.892961739679,784098.0,792329.8929617397,"{'518880': {'shares': 171500.0, 'price': 4.572, 'value': 784098.0, 'profit_pct': 0.9823693882946712}}",-0.005382132047179744,0.7923298929617397,-43.692594028746775
2023-10-24,8231.892961739679,784612.5,792844.3929617397,"{'518880': {'shares': 171500.0, 'price': 4.575, 'value': 784612.5, 'profit_pct': 1.0486307855310877}}",0.0006493507370735063,0.7928443929617397,-43.656030773176646
2023-10-25,16409.685170689714,771329.0,787738.6851706897,"{'511260': {'shares': 6500.0, 'price': 118.666, 'value': 771329.0, 'profit_pct': -0.09990009990009181}}",-0.0064397350052223246,0.7877386851706897,-44.01887100413979
2023-10-26,7927.278630289831,778005.0,785932.2786302898,"{'518880': {'shares': 169500.0, 'price': 4.59, 'value': 778005.0, 'profit_pct': -0.09990009990008746}}",-0.002293154537673203,0.7859322786302898,-44.14724438412072
2023-10-27,7927.278630289831,779530.5,787457.7786302898,"{'518880': {'shares': 169500.0, 'price': 4.599, 'value': 779530.5, 'profit_pct': 0.09598244892364528}}",0.0019410069308498645,0.7874577786302899,-44.03883379836323
2023-10-30,7927.278630289831,781225.5,789152.7786302898,"{'518880': {'shares': 169500.0, 'price': 4.609, 'value': 781225.5, 'profit_pct': 0.31362972539444656}}",0.0021524963572627787,0.7891527786302899,-43.91837759196603
2023-10-31,7927.278630289831,783090.0,791017.2786302898,"{'518880': {'shares': 169500.0, 'price': 4.62, 'value': 783090.0, 'profit_pct': 0.5530417295123358}}",0.0023626603751381037,0.7910172786302898,-43.7858757649291
2023-11-01,7927.278630289831,780208.5,788135.7786302898,"{'518880': {'shares': 169500.0, 'price': 4.603, 'value': 780208.5, 'profit_pct': 0.18304135951195807}}",-0.003642777569902833,0.7881357786302898,-43.99065131580435
2023-11-02,7927.278630289831,781903.5000000001,789830.77863029,"{'518880': {'shares': 169500.0, 'price': 4.613, 'value': 781903.5000000001, 'profit_pct': 0.4006886359827787}}",0.0021506446553485326,0.7898307786302899,-43.87019510940714
2023-11-03,7927.278630289831,781395.0,789322.2786302898,"{'518880': {'shares': 169500.0, 'price': 4.61, 'value': 781395.0, 'profit_pct': 0.3353944530415344}}",-0.0006438087926656788,0.7893222786302898,-43.90633197132631
2023-11-06,7927.278630289831,777496.5,785423.7786302898,"{'518880': {'shares': 169500.0, 'price': 4.587, 'value': 777496.5, 'profit_pct': -0.1651942828413317}}",-0.004939047212458081,0.7854237786302898,-44.18338124603988
2023-11-07,7927.278630289831,774445.5,782372.7786302898,"{'518880': {'shares': 169500.0, 'price': 4.569, 'value': 774445.5, 'profit_pct': -0.5569593804887779}}",-0.0038845271597464093,0.7823727786302899,-44.400202417554844
2023-11-08,7927.278630289831,771394.5,779321.7786302898,"{'518880': {'shares': 169500.0, 'price': 4.551, 'value': 771394.5, 'profit_pct': -0.9487244781362241}}",-0.0038996755553554197,0.7793217786302898,-44.61702358906982
2023-11-09,7870.687800279702,764376.2000000001,772246.8878002798,"{'159915': {'shares': 388600.0, 'price': 1.967, 'value': 764376.2000000001, 'profit_pct': -0.09990009990010254}}",-0.009078266544077174,0.7722468878002797,-45.11980501093258
2023-11-10,7870.687800279702,759713.0,767583.6878002797,"{'159915': {'shares': 388600.0, 'price': 1.955, 'value': 759713.0, 'profit_pct': -0.7093567337593805}}",-0.00603848338357571,0.7675836878002797,-45.45119815646146
2023-11-13,7870.687800279702,760878.7999999999,768749.4878002796,"{'159915': {'shares': 388600.0, 'price': 1.958, 'value': 760878.7999999999, 'profit_pct': -0.5569925752945667}}",0.0015187920464292404,0.7687494878002796,-45.368349870079236
2023-11-14,7870.687800279702,758935.8,766806.4878002797,"{'159915': {'shares': 388600.0, 'price': 1.953, 'value': 758935.8, 'profit_pct': -0.8109328394025936}}",-0.002527481358796879,0.7668064878002797,-45.50643034738293
2023-11-15,7804.841194779845,760906.7999999999,768711.6411947798,"{'513100': {'shares': 653700.0, 'price': 1.164, 'value': 760906.7999999999, 'profit_pct': -0.099900099900095}}",0.002484529571424643,0.7687116411947797,-45.371039462128515
2023-11-16,7804.841194779845,757638.3,765443.1411947799,"{'513100': {'shares': 653700.0, 'price': 1.159, 'value': 757638.3, 'profit_pct': -0.5290242403644326}}",-0.004251919477789801,0.7654431411947799,-45.603317403490905
2023-11-17,7804.841194779845,758945.7000000001,766750.5411947799,"{'513100': {'shares': 653700.0, 'price': 1.161, 'value': 758945.7000000001, 'profit_pct': -0.3573745841786937}}",0.00170803019798349,0.7667505411947799,-45.510406226945946
2023-11-20,7648.600581029896,746699.0,754347.6005810299,"{'159915': {'shares': 384500.0, 'price': 1.942, 'value': 746699.0, 'profit_pct': -0.09990009990009416}}",-0.016175978949324654,0.7543476005810299,-46.39182874877612
2023-11-21,7533.2369348402135,740656.7999999999,748190.0369348401,"{'513100': {'shares': 639600.0, 'price': 1.158, 'value': 740656.7999999999, 'profit_pct': -0.0999000999000801}}",-0.008162766927934717,0.7481900369348401,-46.82941975613267
2023-11-22,7533.2369348402135,735540.0,743073.2369348402,"{'513100': {'shares': 639600.0, 'price': 1.15, 'value': 735540.0, 'profit_pct': -0.7900562304707194}}",-0.006838904218722686,0.7430732369348402,-47.193048261674384
2023-11-23,7533.2369348402135,739377.6,746910.8369348402,"{'513100': {'shares': 639600.0, 'price': 1.156, 'value': 739377.6, 'profit_pct': -0.2724391325427399}}",0.005164497668937784,0.7469108369348402,-46.920326882518104
2023-11-24,7533.2369348402135,740017.2000000001,747550.4369348403,"{'513100': {'shares': 639600.0, 'price': 1.157, 'value': 740017.2000000001, 'profit_pct': -0.18616961622140044}}",0.0008563271121153626,0.7475504369348402,-46.874873319325374
2023-11-27,7533.2369348402135,736179.6,743712.8369348402,"{'513100': {'shares': 639600.0, 'price': 1.151, 'value': 736179.6, 'profit_pct': -0.7037867141493798}}",-0.0051335666603785635,0.7437128369348401,-47.147594698481676
